table_name,column_name,attnum,pg_type
pg_am,oid,1,oid
pg_am,amname,2,name
pg_am,amhandler,3,regproc
pg_am,amtype,4,"""char"""
pg_attrdef,oid,1,oid
pg_attrdef,adrelid,2,oid
pg_attrdef,adnum,3,smallint
pg_attrdef,adbin,4,pg_node_tree
pg_attribute,attrelid,1,oid
pg_attribute,attname,2,name
pg_attribute,atttypid,3,oid
pg_attribute,attstattarget,4,integer
pg_attribute,attlen,5,smallint
pg_attribute,attnum,6,smallint
pg_attribute,attndims,7,integer
pg_attribute,attcacheoff,8,integer
pg_attribute,atttypmod,9,integer
pg_attribute,attbyval,10,boolean
pg_attribute,attalign,11,"""char"""
pg_attribute,attstorage,12,"""char"""
pg_attribute,attcompression,13,"""char"""
pg_attribute,attnotnull,14,boolean
pg_attribute,atthasdef,15,boolean
pg_attribute,atthasmissing,16,boolean
pg_attribute,attidentity,17,"""char"""
pg_attribute,attgenerated,18,"""char"""
pg_attribute,attisdropped,19,boolean
pg_attribute,attislocal,20,boolean
pg_attribute,attinhcount,21,integer
pg_attribute,attcollation,22,oid
pg_attribute,attacl,23,aclitem[]
pg_attribute,attoptions,24,text[]
pg_attribute,attfdwoptions,25,text[]
pg_attribute,attmissingval,26,anyarray
pg_class,oid,1,oid
pg_class,relname,2,name
pg_class,relnamespace,3,oid
pg_class,reltype,4,oid
pg_class,reloftype,5,oid
pg_class,relowner,6,oid
pg_class,relam,7,oid
pg_class,relfilenode,8,oid
pg_class,reltablespace,9,oid
pg_class,relpages,10,integer
pg_class,reltuples,11,real
pg_class,relallvisible,12,integer
pg_class,reltoastrelid,13,oid
pg_class,relhasindex,14,boolean
pg_class,relisshared,15,boolean
pg_class,relpersistence,16,"""char"""
pg_class,relkind,17,"""char"""
pg_class,relnatts,18,smallint
pg_class,relchecks,19,smallint
pg_class,relhasrules,20,boolean
pg_class,relhastriggers,21,boolean
pg_class,relhassubclass,22,boolean
pg_class,relrowsecurity,23,boolean
pg_class,relforcerowsecurity,24,boolean
pg_class,relispopulated,25,boolean
pg_class,relreplident,26,"""char"""
pg_class,relispartition,27,boolean
pg_class,relrewrite,28,oid
pg_class,relfrozenxid,29,xid
pg_class,relminmxid,30,xid
pg_class,relacl,31,aclitem[]
pg_class,reloptions,32,text[]
pg_class,relpartbound,33,pg_node_tree
pg_constraint,oid,1,oid
pg_constraint,conname,2,name
pg_constraint,connamespace,3,oid
pg_constraint,contype,4,"""char"""
pg_constraint,condeferrable,5,boolean
pg_constraint,condeferred,6,boolean
pg_constraint,convalidated,7,boolean
pg_constraint,conrelid,8,oid
pg_constraint,contypid,9,oid
pg_constraint,conindid,10,oid
pg_constraint,conparentid,11,oid
pg_constraint,confrelid,12,oid
pg_constraint,confupdtype,13,"""char"""
pg_constraint,confdeltype,14,"""char"""
pg_constraint,confmatchtype,15,"""char"""
pg_constraint,conislocal,16,boolean
pg_constraint,coninhcount,17,integer
pg_constraint,connoinherit,18,boolean
pg_constraint,conkey,19,smallint[]
pg_constraint,confkey,20,smallint[]
pg_constraint,conpfeqop,21,oid[]
pg_constraint,conppeqop,22,oid[]
