oid,collname,collnamespace,collowner
100,default,11,10
950,C,11,10
951,POSIX,11,10
12545,ucs_basic,11,10
12546,en_NZ,11,10
12547,nl_NL.UTF-8,11,10
12548,pt_BR.UTF-8,11,10
12549,fr_CH.ISO8859-15,11,10
12550,eu_ES.ISO8859-15,11,10
12551,af_ZA,11,10
12552,bg_BG,11,10
12553,cs_CZ.UTF-8,11,10
12554,fi_FI,11,10
12555,zh_CN.UTF-8,11,10
12556,eu_ES,11,10
12557,sk_SK.ISO8859-2,11,10
12558,nl_BE,11,10
12559,fr_BE,11,10
12560,sk_SK,11,10
12561,en_US.UTF-8,11,10
12562,en_NZ.ISO8859-1,11,10
12563,de_CH,11,10
12564,sk_SK.UTF-8,11,10
12565,de_DE.UTF-8,11,10
12566,am_ET.UTF-8,11,10
12567,zh_HK,11,10
12568,be_BY.UTF-8,11,10
12569,uk_UA,11,10
12570,pt_PT.ISO8859-1,11,10
12571,en_US,11,10
12572,nl_BE.ISO8859-15,11,10
12573,de_AT.ISO8859-1,11,10
12574,hr_HR.ISO8859-2,11,10
12575,fr_FR.ISO8859-1,11,10
12576,af_ZA.UTF-8,11,10
12577,am_ET,11,10
12578,fi_FI.ISO8859-1,11,10
12579,ro_RO.UTF-8,11,10
12580,af_ZA.ISO8859-15,11,10
12581,en_NZ.UTF-8,11,10
12582,fi_FI.UTF-8,11,10
12583,hr_HR.UTF-8,11,10
12584,da_DK.UTF-8,11,10
12585,ca_ES.ISO8859-1,11,10
12586,en_AU.ISO8859-15,11,10
12587,ro_RO.ISO8859-2,11,10
12588,de_AT.UTF-8,11,10
12589,pt_PT.ISO8859-15,11,10
12590,sv_SE,11,10
12591,fr_CA.ISO8859-1,11,10
12592,fr_BE.ISO8859-1,11,10
12593,en_US.ISO8859-15,11,10
12594,it_CH.ISO8859-1,11,10
12595,en_NZ.ISO8859-15,11,10
12596,en_AU.UTF-8,11,10
12597,de_AT.ISO8859-15,11,10
12598,af_ZA.ISO8859-1,11,10
12599,hu_HU.UTF-8,11,10
12600,et_EE.UTF-8,11,10
12601,he_IL.UTF-8,11,10
12602,uk_UA.KOI8-U,11,10
12603,be_BY,11,10
12604,kk_KZ,11,10
12605,hu_HU.ISO8859-2,11,10
12606,it_CH,11,10
12607,pt_BR,11,10
12608,ko_KR,11,10
12609,it_IT,11,10
12610,fr_BE.UTF-8,11,10
12611,ru_RU.ISO8859-5,11,10
12612,zh_TW,11,10
12613,zh_CN.GB2312,11,10
12614,no_NO.ISO8859-15,11,10
12615,de_DE.ISO8859-15,11,10
12616,en_CA,11,10
12617,fr_CH.UTF-8,11,10
12618,sl_SI.UTF-8,11,10
12619,uk_UA.ISO8859-5,11,10
12620,pt_PT,11,10
12621,hr_HR,11,10
12622,cs_CZ,11,10
12623,fr_CH,11,10
12624,he_IL,11,10
12625,fr_CA,11,10
12626,pl_PL.UTF-8,11,10
12627,sr_YU.ISO8859-5,11,10
12628,be_BY.CP1251,11,10
12629,sr_YU.ISO8859-2,11,10
12630,sv_SE.UTF-8,11,10
12631,sr_YU.UTF-8,11,10
12632,de_CH.UTF-8,11,10
12633,sl_SI,11,10
12634,pt_PT.UTF-8,11,10
12635,ro_RO,11,10
12636,ja_JP,11,10
12637,zh_CN,11,10
12638,fr_CH.ISO8859-1,11,10
12639,ko_KR.eucKR,11,10
12640,be_BY.ISO8859-5,11,10
12641,nl_NL.ISO8859-15,11,10
12642,en_GB.ISO8859-1,11,10
12643,is_IS.ISO8859-1,11,10
12644,ru_RU.CP866,11,10
12645,nl_NL,11,10
12646,fr_CA.ISO8859-15,11,10
12647,sv_SE.ISO8859-15,11,10
12648,hy_AM,11,10
12649,en_CA.ISO8859-15,11,10
12650,en_US.ISO8859-1,11,10
12651,ca_ES.UTF-8,11,10
12652,ru_RU.CP1251,11,10
12653,en_GB.UTF-8,11,10
12654,ru_RU.UTF-8,11,10
12655,eu_ES.UTF-8,11,10
12656,es_ES.ISO8859-1,11,10
12657,hu_HU,11,10
12658,el_GR.ISO8859-7,11,10
12659,en_AU,11,10
12660,it_CH.UTF-8,11,10
12661,en_GB,11,10
12662,sl_SI.ISO8859-2,11,10
12663,ru_RU.KOI8-R,11,10
12664,nl_BE.UTF-8,11,10
12665,et_EE,11,10
12666,fr_FR.ISO8859-15,11,10
12667,cs_CZ.ISO8859-2,11,10
12668,lt_LT.UTF-8,11,10
12669,pl_PL.ISO8859-2,11,10
12670,fr_BE.ISO8859-15,11,10
12671,is_IS.UTF-8,11,10
12672,tr_TR.ISO8859-9,11,10
