oid,typname,typtype,typcategory,typlen,typelem,typarray,typrelid,typbasetype,typnamespace,typsend,typreceive,typoutput,typinput,typalign,typdelim,typnotnull,typcollation,fmt
16,bool,b,B,1,0,1000,0,0,11,boolsend,boolrecv,boolout,boolin,c,",",f,0,boolean
17,bytea,b,U,-1,0,1001,0,0,11,byteasend,bytearecv,byteaout,byteain,i,",",f,0,bytea
18,char,b,S,1,0,1002,0,0,11,charsend,charrecv,charout,charin,c,",",f,0,"""char"""
19,name,b,S,64,18,1003,0,0,11,namesend,namerecv,nameout,namein,c,",",f,950,name
20,int8,b,N,8,0,1016,0,0,11,int8send,int8recv,int8out,int8in,d,",",f,0,bigint
21,int2,b,N,2,0,1005,0,0,11,int2send,int2recv,int2out,int2in,s,",",f,0,smallint
22,int2vector,b,A,-1,21,1006,0,0,11,int2vectorsend,int2vectorrecv,int2vectorout,int2vectorin,i,",",f,0,int2vector
23,int4,b,N,4,0,1007,0,0,11,int4send,int4recv,int4out,int4in,i,",",f,0,integer
24,regproc,b,N,4,0,1008,0,0,11,regprocsend,regprocrecv,regprocout,regprocin,i,",",f,0,regproc
25,text,b,S,-1,0,1009,0,0,11,textsend,textrecv,textout,textin,i,",",f,100,text
26,oid,b,N,4,0,1028,0,0,11,oidsend,oidrecv,oidout,oidin,i,",",f,0,oid
27,tid,b,U,6,0,1010,0,0,11,tidsend,tidrecv,tidout,tidin,s,",",f,0,tid
28,xid,b,U,4,0,1011,0,0,11,xidsend,xidrecv,xidout,xidin,i,",",f,0,xid
29,cid,b,U,4,0,1012,0,0,11,cidsend,cidrecv,cidout,cidin,i,",",f,0,cid
30,oidvector,b,A,-1,26,1013,0,0,11,oidvectorsend,oidvectorrecv,oidvectorout,oidvectorin,i,",",f,0,oidvector
71,pg_type,c,C,-1,0,210,1247,0,11,record_send,record_recv,record_out,record_in,d,",",f,0,pg_type
75,pg_attribute,c,C,-1,0,270,1249,0,11,record_send,record_recv,record_out,record_in,d,",",f,0,pg_attribute
81,pg_proc,c,C,-1,0,272,1255,0,11,record_send,record_recv,record_out,record_in,d,",",f,0,pg_proc
83,pg_class,c,C,-1,0,273,1259,0,11,record_send,record_recv,record_out,record_in,d,",",f,0,pg_class
114,json,b,U,-1,0,199,0,0,11,json_send,json_recv,json_out,json_in,i,",",f,0,json
142,xml,b,U,-1,0,143,0,0,11,xml_send,xml_recv,xml_out,xml_in,i,",",f,0,xml
194,pg_node_tree,b,S,-1,0,0,0,0,11,pg_node_tree_send,pg_node_tree_recv,pg_node_tree_out,pg_node_tree_in,i,",",f,100,pg_node_tree
3361,pg_ndistinct,b,S,-1,0,0,0,0,11,pg_ndistinct_send,pg_ndistinct_recv,pg_ndistinct_out,pg_ndistinct_in,i,",",f,100,pg_ndistinct
3402,pg_dependencies,b,S,-1,0,0,0,0,11,pg_dependencies_send,pg_dependencies_recv,pg_dependencies_out,pg_dependencies_in,i,",",f,100,pg_dependencies
5017,pg_mcv_list,b,S,-1,0,0,0,0,11,pg_mcv_list_send,pg_mcv_list_recv,pg_mcv_list_out,pg_mcv_list_in,i,",",f,100,pg_mcv_list
32,pg_ddl_command,p,P,8,0,0,0,0,11,pg_ddl_command_send,pg_ddl_command_recv,pg_ddl_command_out,pg_ddl_command_in,d,",",f,0,pg_ddl_command
5069,xid8,b,U,8,0,271,0,0,11,xid8send,xid8recv,xid8out,xid8in,d,",",f,0,xid8
600,point,b,G,16,701,1017,0,0,11,point_send,point_recv,point_out,point_in,d,",",f,0,point
601,lseg,b,G,32,600,1018,0,0,11,lseg_send,lseg_recv,lseg_out,lseg_in,d,",",f,0,lseg
602,path,b,G,-1,0,1019,0,0,11,path_send,path_recv,path_out,path_in,d,",",f,0,path
603,box,b,G,32,600,1020,0,0,11,box_send,box_recv,box_out,box_in,d,;,f,0,box
604,polygon,b,G,-1,0,1027,0,0,11,poly_send,poly_recv,poly_out,poly_in,d,",",f,0,polygon
628,line,b,G,24,701,629,0,0,11,line_send,line_recv,line_out,line_in,d,",",f,0,line
700,float4,b,N,4,0,1021,0,0,11,float4send,float4recv,float4out,float4in,i,",",f,0,real
701,float8,b,N,8,0,1022,0,0,11,float8send,float8recv,float8out,float8in,d,",",f,0,double precision
705,unknown,p,X,-2,0,0,0,0,11,unknownsend,unknownrecv,unknownout,unknownin,c,",",f,0,unknown
718,circle,b,G,24,0,719,0,0,11,circle_send,circle_recv,circle_out,circle_in,d,",",f,0,circle
790,money,b,N,8,0,791,0,0,11,cash_send,cash_recv,cash_out,cash_in,d,",",f,0,money
829,macaddr,b,U,6,0,1040,0,0,11,macaddr_send,macaddr_recv,macaddr_out,macaddr_in,i,",",f,0,macaddr
869,inet,b,I,-1,0,1041,0,0,11,inet_send,inet_recv,inet_out,inet_in,i,",",f,0,inet
650,cidr,b,I,-1,0,651,0,0,11,cidr_send,cidr_recv,cidr_out,cidr_in,i,",",f,0,cidr
774,macaddr8,b,U,8,0,775,0,0,11,macaddr8_send,macaddr8_recv,macaddr8_out,macaddr8_in,i,",",f,0,macaddr8
1033,aclitem,b,U,12,0,1034,0,0,11,-,-,aclitemout,aclitemin,i,",",f,0,aclitem
1042,bpchar,b,S,-1,0,1014,0,0,11,bpcharsend,bpcharrecv,bpcharout,bpcharin,i,",",f,100,character
1043,varchar,b,S,-1,0,1015,0,0,11,varcharsend,varcharrecv,varcharout,varcharin,i,",",f,100,character varying
1082,date,b,D,4,0,1182,0,0,11,date_send,date_recv,date_out,date_in,i,",",f,0,date
1083,time,b,D,8,0,1183,0,0,11,time_send,time_recv,time_out,time_in,d,",",f,0,time without time zone
1114,timestamp,b,D,8,0,1115,0,0,11,timestamp_send,timestamp_recv,timestamp_out,timestamp_in,d,",",f,0,timestamp without time zone
1184,timestamptz,b,D,8,0,1185,0,0,11,timestamptz_send,timestamptz_recv,timestamptz_out,timestamptz_in,d,",",f,0,timestamp with time zone
1186,interval,b,T,16,0,1187,0,0,11,interval_send,interval_recv,interval_out,interval_in,d,",",f,0,interval
1266,timetz,b,D,12,0,1270,0,0,11,timetz_send,timetz_recv,timetz_out,timetz_in,d,",",f,0,time with time zone
1560,bit,b,V,-1,0,1561,0,0,11,bit_send,bit_recv,bit_out,bit_in,i,",",f,0,bit
1562,varbit,b,V,-1,0,1563,0,0,11,varbit_send,varbit_recv,varbit_out,varbit_in,i,",",f,0,bit varying
1700,numeric,b,N,-1,0,1231,0,0,11,numeric_send,numeric_recv,numeric_out,numeric_in,i,",",f,0,numeric
1790,refcursor,b,U,-1,0,2201,0,0,11,textsend,textrecv,textout,textin,i,",",f,0,refcursor
2202,regprocedure,b,N,4,0,2207,0,0,11,regproceduresend,regprocedurerecv,regprocedureout,regprocedurein,i,",",f,0,regprocedure
2203,regoper,b,N,4,0,2208,0,0,11,regopersend,regoperrecv,regoperout,regoperin,i,",",f,0,regoper
2204,regoperator,b,N,4,0,2209,0,0,11,regoperatorsend,regoperatorrecv,regoperatorout,regoperatorin,i,",",f,0,regoperator
2205,regclass,b,N,4,0,2210,0,0,11,regclasssend,regclassrecv,regclassout,regclassin,i,",",f,0,regclass
4191,regcollation,b,N,4,0,4192,0,0,11,regcollationsend,regcollationrecv,regcollationout,regcollationin,i,",",f,0,regcollation
2206,regtype,b,N,4,0,2211,0,0,11,regtypesend,regtyperecv,regtypeout,regtypein,i,",",f,0,regtype
4096,regrole,b,N,4,0,4097,0,0,11,regrolesend,regrolerecv,regroleout,regrolein,i,",",f,0,regrole
4089,regnamespace,b,N,4,0,4090,0,0,11,regnamespacesend,regnamespacerecv,regnamespaceout,regnamespacein,i,",",f,0,regnamespace
2950,uuid,b,U,16,0,2951,0,0,11,uuid_send,uuid_recv,uuid_out,uuid_in,c,",",f,0,uuid
3220,pg_lsn,b,U,8,0,3221,0,0,11,pg_lsn_send,pg_lsn_recv,pg_lsn_out,pg_lsn_in,d,",",f,0,pg_lsn
3614,tsvector,b,U,-1,0,3643,0,0,11,tsvectorsend,tsvectorrecv,tsvectorout,tsvectorin,i,",",f,0,tsvector
3642,gtsvector,b,U,-1,0,3644,0,0,11,-,-,gtsvectorout,gtsvectorin,i,",",f,0,gtsvector
3615,tsquery,b,U,-1,0,3645,0,0,11,tsquerysend,tsqueryrecv,tsqueryout,tsqueryin,i,",",f,0,tsquery
3734,regconfig,b,N,4,0,3735,0,0,11,regconfigsend,regconfigrecv,regconfigout,regconfigin,i,",",f,0,regconfig
3769,regdictionary,b,N,4,0,3770,0,0,11,regdictionarysend,regdictionaryrecv,regdictionaryout,regdictionaryin,i,",",f,0,regdictionary
3802,jsonb,b,U,-1,0,3807,0,0,11,jsonb_send,jsonb_recv,jsonb_out,jsonb_in,i,",",f,0,jsonb
4072,jsonpath,b,U,-1,0,4073,0,0,11,jsonpath_send,jsonpath_recv,jsonpath_out,jsonpath_in,i,",",f,0,jsonpath
2970,txid_snapshot,b,U,-1,0,2949,0,0,11,txid_snapshot_send,txid_snapshot_recv,txid_snapshot_out,txid_snapshot_in,d,",",f,0,txid_snapshot
5038,pg_snapshot,b,U,-1,0,5039,0,0,11,pg_snapshot_send,pg_snapshot_recv,pg_snapshot_out,pg_snapshot_in,d,",",f,0,pg_snapshot
3904,int4range,r,R,-1,0,3905,0,0,11,range_send,range_recv,range_out,range_in,i,",",f,0,int4range
3906,numrange,r,R,-1,0,3907,0,0,11,range_send,range_recv,range_out,range_in,i,",",f,0,numrange
3908,tsrange,r,R,-1,0,3909,0,0,11,range_send,range_recv,range_out,range_in,d,",",f,0,tsrange
3910,tstzrange,r,R,-1,0,3911,0,0,11,range_send,range_recv,range_out,range_in,d,",",f,0,tstzrange
3912,daterange,r,R,-1,0,3913,0,0,11,range_send,range_recv,range_out,range_in,i,",",f,0,daterange
3926,int8range,r,R,-1,0,3927,0,0,11,range_send,range_recv,range_out,range_in,d,",",f,0,int8range
4451,int4multirange,m,R,-1,0,6150,0,0,11,multirange_send,multirange_recv,multirange_out,multirange_in,i,",",f,0,int4multirange
4532,nummultirange,m,R,-1,0,6151,0,0,11,multirange_send,multirange_recv,multirange_out,multirange_in,i,",",f,0,nummultirange
4533,tsmultirange,m,R,-1,0,6152,0,0,11,multirange_send,multirange_recv,multirange_out,multirange_in,d,",",f,0,tsmultirange
4534,tstzmultirange,m,R,-1,0,6153,0,0,11,multirange_send,multirange_recv,multirange_out,multirange_in,d,",",f,0,tstzmultirange
4535,datemultirange,m,R,-1,0,6155,0,0,11,multirange_send,multirange_recv,multirange_out,multirange_in,i,",",f,0,datemultirange
4536,int8multirange,m,R,-1,0,6157,0,0,11,multirange_send,multirange_recv,multirange_out,multirange_in,d,",",f,0,int8multirange
